groupsize	MPCR	round	groupContribution	Experiments	STDEV
4	0.3	1	36	17	0
4	0.3	2	34	17	0
4	0.3	3	28	17	0
4	0.3	4	29	17	0
4	0.3	5	28	17	0
4	0.3	6	21	17	0
4	0.3	7	18	17	0
4	0.3	8	10	17	0
4	0.3	9	20	17	0
4	0.3	10	11	17	0
10	0.3	1	47	16	0
10	0.3	2	38	16	0
10	0.3	3	30	16	0
10	0.3	4	32	16	0
10	0.3	5	31	16	0
10	0.3	6	30	16	0
10	0.3	7	28	16	0
10	0.3	8	23	16	0
10	0.3	9	25	16	0
10	0.3	10	12	16	0
4	0.75	1	56	10	0
4	0.75	2	57	10	0
4	0.75	3	58	10	0
4	0.75	4	53	10	0
4	0.75	5	59	10	0
4	0.75	6	40	10	0
4	0.75	7	32	10	0
4	0.75	8	35	10	0
4	0.75	9	39	10	0
4	0.75	10	30	10	0
10	0.75	1	44	10	0
10	0.75	2	52	10	0
10	0.75	3	57	10	0
10	0.75	4	48	10	0
10	0.75	5	56	10	0
10	0.75	6	48	10	0
10	0.75	7	56	10	0
10	0.75	8	53	10	0
10	0.75	9	34	10	0
10	0.75	10	39	10	0
40	0.3	1	48	6	10
40	0.3	2	42	6	21
40	0.3	3	50	6	14
40	0.3	4	43	6	13
40	0.3	5	49	6	14
40	0.3	6	43	6	13
40	0.3	7	47	6	14
40	0.3	8	37	6	18
40	0.3	9	41	6	17
40	0.3	10	40	6	18
40	0.75	1	44	6	4
40	0.75	2	38	6	8
40	0.75	3	42	6	11
40	0.75	4	39	6	17
40	0.75	5	42	6	17
40	0.75	6	38	6	19
40	0.75	7	40	6	11
40	0.75	8	37	6	17
40	0.75	9	36	6	7
40	0.75	10	35	6	10
100	0.3	1	48	3	8
100	0.3	2	40	3	25
100	0.3	3	46	3	17
100	0.3	4	40	3	10
100	0.3	5	43	3	27
100	0.3	6	38	3	15
100	0.3	7	37	3	31
100	0.3	8	36	3	24
100	0.3	9	38	3	19
100	0.3	10	35	3	13
100	0.75	1	43	3	5
100	0.75	2	38	3	20
100	0.75	3	42	3	41
100	0.75	4	38	3	23
100	0.75	5	41	3	18
100	0.75	6	36	3	32
100	0.75	7	37	3	33
100	0.75	8	34	3	27
100	0.75	9	35	3	17
100	0.75	10	34	3	31
